benchmark,baseline_status,baseline_iterations,baseline_runtime_sec,baseline_primal_rel,baseline_dual_rel,baseline_gap_rel,fixed_log2_status,fixed_log2_iterations,fixed_log2_runtime_sec,fixed_log2_primal_rel,fixed_log2_dual_rel,fixed_log2_gap_rel,signrate_status,signrate_iterations,signrate_runtime_sec,signrate_primal_rel,signrate_dual_rel,signrate_gap_rel,signrate_applied_count,signrate_activation_count,signrate_max_abs_delta_log_omega,signrate_delta_sign_change_rate,fixed_vs_baseline_by_iterations,signrate_vs_baseline_by_iterations,signrate_vs_fixed_by_iterations,fixed_vs_baseline_by_runtime,signrate_vs_baseline_by_runtime,signrate_vs_fixed_by_runtime
Primal2_1000,OPTIMAL,10800,5.4620,7.82323e-05,2.96032e-06,4.21303e-06,OPTIMAL,4000,2.0240,7.24208e-05,4.03686e-05,7.43703e-05,OPTIMAL,10800,5.4550,7.82323e-05,2.96032e-06,4.21303e-06,0,0,3.3754,0.222222,更好,基本相同,更差,更好,基本相同,更差
bharat,TIME_LIMIT,49000,30.091,0.000147244,1.24468e-06,0.00568546,TIME_LIMIT,49000,30.103,8.00262e-05,1.06119e-06,0.00570398,TIME_LIMIT,49200,30.082,9.63563e-05,9.73551e-07,0.00565995,0,0,1.0748,0.3,基本相同,基本相同,基本相同,基本相同,基本相同,基本相同
brazil3,OPTIMAL,2200,0.083,7.72689e-07,2.35652e-05,5.06329e-05,OPTIMAL,2800,0.097,1.02143e-06,9.05185e-06,6.77499e-05,OPTIMAL,2200,0.075,7.72689e-07,2.35652e-05,5.06329e-05,0,0,2.2807,0.6,更差,基本相同,更好,更差,更好,更好
chromaticindex1024-7,OPTIMAL,1200,0.089,5.8625e-06,1.06421e-06,4.70884e-06,OPTIMAL,800.000,0.074,1.62661e-07,2.27561e-06,2.04024e-06,OPTIMAL,800.000,0.066,2.91315e-06,6.96007e-05,6.12603e-05,1.0000,1.0000,4.7985,1.0000,更好,更好,基本相同,更好,更好,更好
datt256_lp,OPTIMAL,400.000,0.072,4.33846e-05,3.39696e-05,8.42216e-06,OPTIMAL,400.000,0.081,4.33846e-05,3.39696e-05,8.42216e-06,OPTIMAL,400.000,0.072,4.33846e-05,3.39696e-05,8.42216e-06,0,0,0.152609,0,基本相同,基本相同,基本相同,更差,基本相同,更好
dlr1,TIME_LIMIT,60600,30.030,1.70944e-06,1.31634e-06,0.000253385,OPTIMAL,28400,14.058,6.79895e-06,4.08917e-07,6.96376e-05,TIME_LIMIT,60400,30.057,1.73659e-06,1.30149e-06,0.000260707,0,0,2.2018,0.181818,更好,基本相同,更差,更好,基本相同,更差
ex10,OPTIMAL,600.000,0.091,3.78581e-05,5.48225e-06,2.78072e-06,OPTIMAL,600.000,0.092,2.81783e-05,5.86774e-06,1.06878e-06,OPTIMAL,600.000,0.087,3.78581e-05,5.48225e-06,2.78072e-06,0,0,0.977743,1.0000,基本相同,基本相同,基本相同,更差,更好,更好
fhnw-binschedule1,TIME_LIMIT,28000,30.164,0.131068,2.8883,0.595464,TIME_LIMIT,27800,30.000,0.129153,0.320992,0.365531,TIME_LIMIT,27600,30.113,0.0185444,1.4690,0.116441,5.0000,1.0000,5.0881,0.5,更好,更好,更好,更好,基本相同,基本相同
graph40-40,OPTIMAL,400.000,0.098,3.5527e-05,1.34307e-06,7.26486e-10,OPTIMAL,400.000,0.105,4.09218e-06,1.57886e-06,2.22052e-09,OPTIMAL,400.000,0.113,3.5527e-05,1.34307e-06,7.26486e-10,0,0,2.8578,0,基本相同,基本相同,基本相同,更差,更差,更差
irish-electricity,OPTIMAL,39600,3.0150,1.60066e-06,9.94258e-05,1.97977e-05,ITERATION_LIMIT,200000,15.308,2.65218e-07,7.44138e-06,0.000340664,OPTIMAL,39600,3.0340,1.60066e-06,9.94258e-05,1.97977e-05,0,0,3.0618,0.1,更差,基本相同,更好,更差,更差,更好
neos-3025225,OPTIMAL,19000,7.1660,1.87158e-09,9.44827e-05,9.64387e-06,OPTIMAL,58200,21.888,1.89934e-08,2.06804e-06,8.71993e-08,OPTIMAL,19000,7.1660,1.87158e-09,9.44827e-05,9.64387e-06,0,0,3.9821,0.307692,更差,基本相同,更好,更差,基本相同,更好
neos-5052403-cygnet,OPTIMAL,7600,1.5640,4.2353e-05,8.70589e-05,8.80151e-05,OPTIMAL,7800,1.6140,4.56795e-05,7.44939e-05,9.18984e-05,OPTIMAL,7600,1.5680,4.2353e-05,8.70589e-05,8.80151e-05,0,0,0.909656,0.166667,更差,基本相同,更好,更差,基本相同,更好
neos-5251015,OPTIMAL,1200,0.322,6.04854e-09,3.1511e-05,3.82636e-06,OPTIMAL,1000,0.274,2.76728e-10,1.16709e-05,6.93846e-06,OPTIMAL,1000,0.269,2.1797e-09,7.45654e-05,1.51626e-05,1.0000,1.0000,2.8978,1.0000,更好,更好,基本相同,更好,更好,更好
physiciansched3-3,OPTIMAL,174600,15.045,4.84999e-05,9.39777e-06,1.16932e-05,ITERATION_LIMIT,200000,17.259,7.44127e-06,0.000383984,0.00202274,OPTIMAL,174600,14.896,4.84999e-05,9.39777e-06,1.16932e-05,0,0,2.3565,0.166667,更差,基本相同,更好,更差,更好,更好
qap15,OPTIMAL,2800,0.092,9.46749e-05,1.20073e-05,1.37027e-05,OPTIMAL,2800,0.092,9.76209e-05,8.89754e-06,1.13832e-05,OPTIMAL,2800,0.091,9.46749e-05,1.20073e-05,1.37027e-05,0,0,1.2931,0.25,基本相同,基本相同,基本相同,基本相同,更好,更好
rmine15,OPTIMAL,22200,3.7970,9.57124e-05,2.74583e-05,3.30746e-05,OPTIMAL,14800,2.5420,4.00937e-05,9.15932e-05,8.40331e-07,OPTIMAL,16000,2.7420,6.51655e-05,9.38628e-05,1.10762e-05,3.0000,1.0000,2.8098,0.5,更好,更好,更差,更好,更好,更差
s100,TIME_LIMIT,168000,30.010,1.46041e-07,4.43414e-07,0.000684113,OPTIMAL,165000,29.488,1.76499e-09,9.99282e-05,7.99607e-05,TIME_LIMIT,167800,30.017,1.47887e-07,4.46082e-07,0.000681183,0,0,1.9434,0.25,更好,基本相同,更差,更好,基本相同,更差
s250r10,OPTIMAL,76200,11.757,5.04605e-08,1.36863e-06,7.89949e-05,OPTIMAL,92600,14.293,2.61722e-08,9.7632e-05,9.99519e-05,OPTIMAL,76200,11.760,5.04605e-08,1.36863e-06,7.89949e-05,0,0,1.9895,0.384615,更差,基本相同,更好,更差,基本相同,更好
s82,TIME_LIMIT,34800,30.093,1.81797e-07,23.473,0.999793,TIME_LIMIT,34800,30.070,3.37677e-07,0.102648,0.75723,TIME_LIMIT,34800,30.169,1.81797e-07,23.473,0.999793,0,0,2.0827,0.111111,基本相同,基本相同,基本相同,基本相同,基本相同,基本相同
savsched1,OPTIMAL,800.000,0.228,1.21406e-08,2.60714e-08,2.63853e-06,OPTIMAL,800.000,0.229,8.72618e-09,1.6847e-08,1.13128e-06,OPTIMAL,800.000,0.222,1.21406e-08,2.60714e-08,2.63853e-06,0,0,1.2025,0.5,基本相同,基本相同,基本相同,基本相同,更好,更好
scpm1,OPTIMAL,8000,4.7990,9.87176e-05,2.30126e-07,8.09637e-07,OPTIMAL,13200,7.9380,9.6679e-05,5.56145e-07,4.16008e-05,OPTIMAL,8000,4.8060,9.87176e-05,2.30126e-07,8.09637e-07,0,0,3.2606,0.166667,更差,基本相同,更好,更差,基本相同,更好
square41,TIME_LIMIT,94600,30.004,7.46624e-05,0.000449939,0.00123911,TIME_LIMIT,94800,30.056,7.12067e-05,0.000469965,0.00167271,TIME_LIMIT,94400,30.003,7.51854e-05,0.000455679,0.0012263,0,0,0.960302,0.5,基本相同,基本相同,基本相同,基本相同,基本相同,基本相同
supportcase10,OPTIMAL,12800,0.919,7.83256e-07,8.57226e-05,9.8422e-06,OPTIMAL,22400,1.6030,7.82359e-07,8.1865e-05,2.26688e-05,OPTIMAL,12800,0.886,7.83256e-07,8.57226e-05,9.8422e-06,0,0,2.0087,0.285714,更差,基本相同,更好,更差,更好,更好
supportcase19,TIME_LIMIT,47400,30.083,2.76882e-05,4.1751e-06,0.00107612,TIME_LIMIT,47400,30.075,5.18047e-06,0.000132958,0.00113832,TIME_LIMIT,47400,30.035,2.76882e-05,4.1751e-06,0.00107612,0,0,2.6151,0.0909091,基本相同,基本相同,基本相同,基本相同,基本相同,基本相同
tpl-tub-ws1617,OPTIMAL,14600,6.5520,3.84681e-05,3.74403e-07,1.41016e-05,OPTIMAL,16800,7.4800,9.44779e-06,4.41221e-06,9.25185e-05,OPTIMAL,14600,6.5330,3.84681e-05,3.74403e-07,1.41016e-05,0,0,3.4997,0.222222,更差,基本相同,更好,更差,基本相同,更好
woodlands09,OPTIMAL,800.000,0.198,4.10449e-05,1.54448e-07,3.0508e-06,OPTIMAL,600.000,0.155,3.86992e-06,1.53148e-06,5.76523e-05,OPTIMAL,800.000,0.195,1.16595e-05,1.98639e-07,2.90435e-06,1.0000,1.0000,3.9923,1.0000,更好,基本相同,更差,更好,更好,更差
